Customer type,Gender,Product line,Unit price,Quantity,Time,Payment,Gross margin ,Rating,Day,Month
Member,Female,Health and beauty,74.69,7,13:08,Ewallet,4.761904762,9.1,5,1
Normal,Female,Electronic accessories,15.28,5,10:29,Cash,4.761904762,9.6,8,3
Normal,Male,Home and lifestyle,46.33,7,13:23,Credit card,4.761904762,7.4,3,3
Member,Male,Health and beauty,58.22,8,20:33,Ewallet,4.761904762,8.4,27,1
Normal,Male,Sports and travel,86.31,7,10:37,Ewallet,4.761904762,5.3,8,2
Normal,Male,Electronic accessories,85.39,7,18:30,Ewallet,4.761904762,4.1,25,3
Member,Female,Electronic accessories,68.84,6,14:36,Ewallet,4.761904762,5.8,25,2
Normal,Female,Home and lifestyle,73.56,10,11:38,Ewallet,4.761904762,8,24,2
Member,Female,Health and beauty,36.26,2,17:15,Credit card,4.761904762,7.2,10,1
Member,Female,Food and beverages,54.84,3,13:27,Credit card,4.761904762,5.9,20,2
Member,Female,Fashion accessories,14.48,4,18:07,Ewallet,4.761904762,4.5,6,2
Member,Male,Electronic accessories,25.51,4,17:03,Cash,4.761904762,6.8,9,3
Normal,Female,Electronic accessories,46.95,5,10:25,Ewallet,4.761904762,7.1,12,2
Normal,Male,Food and beverages,43.19,10,16:48,Ewallet,4.761904762,8.2,7,2
Normal,Female,Health and beauty,71.38,10,19:21,Cash,4.761904762,5.7,29,3
Member,Female,Sports and travel,93.72,6,16:19,Cash,4.761904762,4.5,15,1
Member,Female,Health and beauty,68.93,7,11:03,Credit card,4.761904762,4.6,11,3
Normal,Male,Sports and travel,72.61,6,10:39,Credit card,4.761904762,6.9,1,1
Normal,Male,Food and beverages,54.67,3,18:00,Credit card,4.761904762,8.6,21,1
Normal,Female,Home and lifestyle,40.3,2,15:30,Ewallet,4.761904762,4.4,11,3
Member,Male,Electronic accessories,86.04,5,11:24,Ewallet,4.761904762,4.8,25,2
Normal,Male,Health and beauty,87.98,3,10:40,Ewallet,4.761904762,5.1,5,3
Normal,Male,Home and lifestyle,33.2,2,12:20,Credit card,4.761904762,4.4,15,3
Normal,Male,Electronic accessories,34.56,5,11:15,Ewallet,4.761904762,9.9,17,2
Member,Male,Sports and travel,88.63,3,17:36,Ewallet,4.761904762,6,2,3
Member,Female,Home and lifestyle,52.59,8,19:20,Credit card,4.761904762,8.5,22,3
Normal,Male,Fashion accessories,33.52,1,15:31,Cash,4.761904762,6.7,8,2
Normal,Female,Fashion accessories,87.67,2,12:17,Credit card,4.761904762,7.7,10,3
Normal,Female,Food and beverages,88.36,5,19:48,Cash,4.761904762,9.6,25,1
Normal,Male,Health and beauty,24.89,9,15:36,Cash,4.761904762,7.4,15,3
Normal,Male,Fashion accessories,94.13,5,19:39,Credit card,4.761904762,4.8,25,2
Member,Male,Sports and travel,78.07,9,12:43,Cash,4.761904762,4.5,28,1
Normal,Male,Sports and travel,83.78,8,14:49,Cash,4.761904762,5.1,10,1
Normal,Male,Health and beauty,96.58,2,10:12,Credit card,4.761904762,5.1,15,3
Member,Female,Food and beverages,99.42,4,10:42,Ewallet,4.761904762,7.5,6,2
Member,Female,Sports and travel,68.12,1,12:28,Ewallet,4.761904762,6.8,7,1
Member,Male,Sports and travel,62.62,5,19:15,Ewallet,4.761904762,7,10,3
Normal,Female,Electronic accessories,60.88,9,17:17,Ewallet,4.761904762,4.7,15,1
Normal,Female,Health and beauty,54.92,8,13:24,Ewallet,4.761904762,7.6,23,3
Member,Male,Home and lifestyle,30.12,8,13:01,Cash,4.761904762,7.7,3,3
Member,Female,Home and lifestyle,86.72,1,18:45,Ewallet,4.761904762,7.9,17,1
Member,Male,Home and lifestyle,56.11,2,10:11,Cash,4.761904762,6.3,2,2
Member,Female,Sports and travel,69.12,6,13:03,Cash,4.761904762,5.6,8,2
Member,Female,Food and beverages,98.7,8,20:39,Cash,4.761904762,7.6,4,3
Member,Male,Health and beauty,15.37,2,19:47,Cash,4.761904762,7.2,16,3
Member,Female,Electronic accessories,93.96,4,18:00,Cash,4.761904762,9.5,9,3
Member,Male,Health and beauty,56.69,9,17:24,Credit card,4.761904762,8.4,27,2
Member,Female,Food and beverages,20.01,9,15:47,Ewallet,4.761904762,4.1,6,2
Member,Male,Electronic accessories,18.93,6,12:45,Credit card,4.761904762,8.1,10,2
Member,Female,Fashion accessories,82.63,10,17:08,Ewallet,4.761904762,7.9,19,3
Member,Male,Food and beverages,91.4,7,10:19,Cash,4.761904762,9.5,3,2
Member,Female,Food and beverages,44.59,5,15:10,Cash,4.761904762,8.5,10,2
Member,Female,Fashion accessories,17.87,4,14:42,Ewallet,4.761904762,6.5,22,3
Member,Male,Fashion accessories,15.43,1,15:46,Credit card,4.761904762,6.1,25,1
Normal,Male,Home and lifestyle,16.16,2,11:49,Ewallet,4.761904762,6.5,7,3
Normal,Female,Electronic accessories,85.98,8,19:01,Cash,4.761904762,8.2,28,2
Member,Male,Home and lifestyle,44.34,2,11:26,Cash,4.761904762,5.8,27,3
Normal,Male,Health and beauty,89.6,8,11:28,Ewallet,4.761904762,6.6,7,2
Member,Female,Home and lifestyle,72.35,10,15:55,Cash,4.761904762,5.4,20,1
Normal,Male,Electronic accessories,30.61,6,20:36,Cash,4.761904762,9.3,12,3
Member,Female,Sports and travel,24.74,3,17:47,Credit card,4.761904762,10,15,2
Normal,Male,Home and lifestyle,55.73,6,10:55,Ewallet,4.761904762,7,24,2
Member,Female,Sports and travel,55.07,9,13:40,Ewallet,4.761904762,10,3,2
Member,Male,Sports and travel,15.81,10,12:27,Credit card,4.761904762,8.6,6,3
Member,Male,Health and beauty,75.74,4,14:35,Cash,4.761904762,7.6,14,2
Member,Male,Health and beauty,15.87,10,16:40,Cash,4.761904762,5.8,13,3
Normal,Female,Health and beauty,33.47,2,15:43,Ewallet,4.761904762,6.7,10,2
Member,Female,Fashion accessories,97.61,6,15:01,Ewallet,4.761904762,9.9,7,1
Normal,Male,Sports and travel,78.77,10,10:04,Cash,4.761904762,6.4,24,1
Member,Female,Health and beauty,18.33,1,18:50,Cash,4.761904762,4.3,2,2
Normal,Male,Food and beverages,89.48,10,12:46,Credit card,4.761904762,9.6,6,1
Normal,Male,Fashion accessories,62.12,10,16:19,Cash,4.761904762,5.9,11,2
Member,Female,Food and beverages,48.52,3,18:17,Ewallet,4.761904762,4,5,3
Normal,Female,Electronic accessories,75.91,6,18:21,Cash,4.761904762,8.7,9,3
Normal,Male,Home and lifestyle,74.67,9,10:55,Ewallet,4.761904762,9.4,22,1
Normal,Female,Electronic accessories,41.65,10,17:04,Credit card,4.761904762,5.4,13,1
Member,Male,Fashion accessories,49.04,9,14:20,Credit card,4.761904762,8.6,9,1
Member,Female,Fashion accessories,20.01,9,15:48,Credit card,4.761904762,5.7,12,1
Member,Female,Food and beverages,78.31,10,16:24,Ewallet,4.761904762,6.6,5,3
Normal,Female,Health and beauty,20.38,5,18:56,Cash,4.761904762,6,22,1
Normal,Female,Health and beauty,99.19,6,14:42,Credit card,4.761904762,5.5,21,1
Normal,Female,Food and beverages,96.68,3,19:56,Ewallet,4.761904762,6.4,26,1
Normal,Male,Food and beverages,19.25,8,18:37,Ewallet,4.761904762,6.6,23,1
Member,Female,Food and beverages,80.36,4,18:45,Credit card,4.761904762,8.3,23,2
Member,Male,Sports and travel,48.91,5,10:17,Cash,4.761904762,6.6,9,3
Normal,Female,Sports and travel,83.06,7,14:31,Ewallet,4.761904762,4,5,3
Normal,Male,Fashion accessories,76.52,5,10:23,Cash,4.761904762,9.9,25,3
Member,Male,Food and beverages,49.38,7,20:35,Credit card,4.761904762,7.3,27,3
Normal,Male,Sports and travel,42.47,1,16:57,Cash,4.761904762,5.7,2,1
Normal,Female,Health and beauty,76.99,6,17:55,Cash,4.761904762,6.1,27,2
Member,Female,Home and lifestyle,47.38,4,10:25,Cash,4.761904762,7.1,23,1
Normal,Female,Sports and travel,44.86,10,19:54,Ewallet,4.761904762,8.2,26,1
Member,Female,Sports and travel,21.98,7,16:42,Ewallet,4.761904762,5.1,10,1
Member,Male,Health and beauty,64.36,9,12:09,Credit card,4.761904762,8.6,12,3
Normal,Male,Health and beauty,89.75,1,20:05,Credit card,4.761904762,6.6,6,2
Normal,Male,Electronic accessories,97.16,1,20:38,Ewallet,4.761904762,7.2,8,3
Normal,Male,Health and beauty,87.87,10,10:25,Ewallet,4.761904762,5.1,29,3
Normal,Female,Electronic accessories,12.45,6,13:11,Cash,4.761904762,4.1,9,2
Normal,Male,Food and beverages,52.75,3,10:16,Ewallet,4.761904762,9.3,23,3
Normal,Male,Home and lifestyle,82.7,6,18:14,Cash,4.761904762,7.4,5,3
Member,Male,Fashion accessories,48.71,1,19:20,Cash,4.761904762,4.1,26,3
Normal,Male,Fashion accessories,78.55,9,13:22,Cash,4.761904762,7.2,1,3
Normal,Female,Electronic accessories,23.07,9,11:27,Cash,4.761904762,4.9,1,2
Normal,Male,Food and beverages,58.26,6,16:44,Cash,4.761904762,9.9,28,3
Normal,Male,Health and beauty,30.35,7,18:19,Cash,4.761904762,8,19,3
Member,Male,Electronic accessories,88.67,10,14:50,Ewallet,4.761904762,7.3,12,1
Normal,Male,Fashion accessories,27.38,6,20:54,Credit card,4.761904762,7.9,5,1
Normal,Male,Sports and travel,62.13,6,20:19,Cash,4.761904762,7.4,22,3
